Town,County,Earliest year land records or index online,Platform link (may require login),Google Sheet clickable link (to calculate Markdown-formatted links in column D for Datawrapper)
Andover,Tolland County,,,
Ansonia,New Haven County,1968,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Ashford,Windham County,1705,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Avon,Hartford County,1961,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Barkhamsted,Litchfield County,1914,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Beacon Falls,New Haven County,1871,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Berlin,Hartford County,1967,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Bethany,New Haven County,1960,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Bethel,Fairfield County,1966,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Bethlehem,Litchfield County,1937,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Bloomfield,Hartford County,1961,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Bolton,Tolland County,1961,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Bozrah,New London County,1984,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Branford,New Haven County,1993,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Bridgeport,Fairfield County,1948,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Bridgewater,Litchfield County,1998,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Bristol,Hartford County,1847,[http://cottweb.ci.bristol.ct.us/External/](http://cottweb.ci.bristol.ct.us/External/),http://cottweb.ci.bristol.ct.us/External/
Brookfield,Fairfield County,1969,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Brooklyn,Windham County,1786,[https://countyfusion12.kofiletech.us/](https://countyfusion12.kofiletech.us/),https://countyfusion12.kofiletech.us/
Burlington,Hartford County,1962,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Canaan,Litchfield County,2014,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Canterbury,Windham County,1905,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Canton,Hartford County,1976,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Chaplin,Windham County,1942,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Cheshire,New Haven County,1780,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Chester,Middlesex County,1984,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Clinton,Middlesex County,1964,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Colchester,New London County,1700,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Colebrook,Litchfield County,1944,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Columbia,Tolland County,1958,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Cornwall,Litchfield County,1959,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Coventry,Tolland County,1712,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Cromwell,Middlesex County,1851,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Danbury,Fairfield County,1951,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Darien,Fairfield County,1969,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Deep River,Middlesex County,1848,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Derby,New Haven County,1860,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
Durham,Middlesex County,1947,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
East Granby,Hartford County,1957,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
East Haddam,Middlesex County,1950,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
East Hampton,Middlesex County,1767,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
East Hartford,Hartford County,1959,[https://countyfusion12.kofiletech.us/](https://countyfusion12.kofiletech.us/),https://countyfusion12.kofiletech.us/
East Haven,New Haven County,1970,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
East Lyme,New London County,1926,[https://www.uslandrecords.com/ctlr/](https://www.uslandrecords.com/ctlr/),https://www.uslandrecords.com/ctlr/
East Windsor,Hartford County,1975,[http://webhost01.newvisionsystems.com/EWLandRecSearch/](http://webhost01.newvisionsystems.com/EWLandRecSearch/),http://webhost01.newvisionsystems.com/EWLandRecSearch/
Eastford,Windham County,1963,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Easton,Fairfield County,1977,[https://landrecords.eastonct.gov/EastonCTSearch/](https://landrecords.eastonct.gov/EastonCTSearch/),https://landrecords.eastonct.gov/EastonCTSearch/
Ellington,Tolland County,1963,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Enfield,Hartford County,1969,[https://app17.enfield.org/EnfieldCTSearch/](https://app17.enfield.org/EnfieldCTSearch/),https://app17.enfield.org/EnfieldCTSearch/
Essex,Middlesex County,1982,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Fairfield,Fairfield County,1948,[http://searchiqs.com](http://searchiqs.com),http://searchiqs.com
Farmington,Hartford County,1946,[https://recordhub.cottsystems.com](https://recordhub.cottsystems.com),https://recordhub.cottsystems.com
Franklin,New London County,,,
Glastonbury,Hartford County,1693,[https://tcweb.glastonbury-ct.gov/publicsearch/](https://tcweb.glastonbury-ct.gov/publicsearch/),https://tcweb.glastonbury-ct.gov/publicsearch/
